county_name,state_name,total_acres,avg_acres_per_decade,num_decades,urbanization_rate,scenario,scenario_description,spatial_level,time_period,generated_date
Douglas County,Washington,225958.11,9038.32,5,45191.62,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cape May County,New Jersey,225733.36,11286.67,5,45146.67,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lea County,New Mexico,225092.81,11254.64,5,45018.56,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Susquehanna County,Pennsylvania,225027.51,11251.38,5,45005.5,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Washington Parish,Louisiana,224831.25,11241.56,5,44966.25,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Madison County,New York,224381.61,11219.08,5,44876.32,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Columbia County,Pennsylvania,224255.56,11212.78,5,44851.11,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Belknap County,New Hampshire,224059.67,11202.98,5,44811.93,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Huron County,Ohio,224054.56,11202.73,5,44810.91,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Garfield County,Colorado,223967.7,8958.71,5,44793.54,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Montcalm County,Michigan,223874.77,11193.74,5,44774.95,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pacific County,Washington,223739.19,8949.57,5,44747.84,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Macon County,Illinois,223524.9,11176.24,5,44704.98,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Allegany County,Maryland,223419.36,11170.97,5,44683.87,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Bay County,Michigan,223341.78,11167.09,5,44668.36,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Halifax County,Virginia,223282.15,11164.11,5,44656.43,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Jackson County,Georgia,222872.13,11143.61,5,44574.43,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Vermilion Parish,Louisiana,222642.75,8905.71,5,44528.55,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Platte County,Missouri,222640.95,11132.05,5,44528.19,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lincoln County,Washington,222516.38,8900.66,5,44503.28,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Delaware County,New York,222387.05,11119.35,5,44477.41,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lee County,North Carolina,222212.79,11110.64,5,44442.56,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
McMinn County,Tennessee,222099.0,11104.95,5,44419.8,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Vanderburgh County,Indiana,221711.58,11085.58,5,44342.32,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Wood County,West Virginia,221331.81,11066.59,5,44266.36,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Richmond County,North Carolina,221221.87,11061.09,5,44244.37,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Prince George County,Virginia,220229.54,11011.48,5,44045.91,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Laurel County,Kentucky,220168.05,11008.4,5,44033.61,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Wicomico County,Maryland,219795.6,10989.78,5,43959.12,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Russell County,Alabama,219490.83,10974.54,5,43898.17,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Stanly County,North Carolina,219351.95,10967.6,5,43870.39,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pottawatomie County,Oklahoma,219277.92,8771.12,5,43855.58,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Edgecombe County,North Carolina,218882.56,10944.13,5,43776.51,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
